R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
1	David VillaNew York City FC, 36, AM(L),FW	28(3)	2560	22	5	4	-	4.4	69.8	0.6	9	7.63
2	Sebastian GiovincoToronto FC, 31, AM(C),FW	25	2061	16	6	4	-	5.1	72.3	-	6	7.51
3	Josef MartinezAtlanta United, 24, FW	17(3)	1528	19	1	4	-	3.4	82.2	1.6	4	7.49
4	Ignacio PiattiMontreal Impact, 33, AM(CL),FW	26(2)	2370	17	5	3	-	2.7	76.4	0.1	7	7.45
5	Romain AlessandriniLA Galaxy, 29, AM(LR)	27(3)	2444	13	11	8	-	3.2	71.2	0.3	8	7.44
6	Cristian RoldanSeattle Sounders FC, 22, M(CR)	33	2960	6	2	3	-	1.2	84	1.1	4	7.4
7	Leandro Gonzalez PirezAtlanta United, 26, D(C)	32	2815	1	3	10	1	0.5	83.5	1.5	3	7.38
8	Miguel AlmironAtlanta United, 24, AM(CL)	27(3)	2395	9	8	4	-	2.8	80.6	0.1	5	7.36
9	Graham ZusiSporting Kansas City, 31, D(R),M(CLR)	23(1)	2115	-	6	3	1	1.5	86.6	0.7	1	7.31
10	Lee NguyenNew England Rev., 31, AM(CLR),FW	30(1)	2545	11	9	3	-	1.6	78.8	0.1	4	7.31
11	Nicolas LodeiroSeattle Sounders FC, 29, M(CLR),FW	33	2965	7	9	5	1	2	80.5	0.3	4	7.28
12	Albert RusnakReal Salt Lake, 23, AM(CLR)	29(1)	2580	7	13	2	-	2.8	84.8	0.1	3	7.28
13	Diego ValeriPortland Timbers, 31, AM(CR)	32	2830	21	9	4	-	2.9	79	0.6	3	7.26
14	David AccamChicago Fire, 27, AM(LR),FW	24(6)	2179	14	6	2	-	2.2	74.6	0.3	6	7.26
15	Blerim DzemailiMontreal Impact, 32, M(C)	22	1941	7	10	8	-	3	72.9	0.3	3	7.24
16	Federico HiguainColumbus Crew, 33, AM(C)	26	2239	9	9	3	-	2	79.9	0.1	3	7.24
17	Victor VazquezToronto FC, 31, AM(C)	28(3)	2383	8	10	3	-	1.3	84.4	0.3	3	7.23
18	Jozy AltidoreToronto FC, 28, FW	25(2)	2194	15	6	8	-	2.5	71.7	1.1	3	7.23
19	Maximiliano UrrutiFC Dallas, 27, FW	31(1)	2749	12	4	1	-	3.2	77	0.5	3	7.22
20	Yamil AsadAtlanta United, 23, AM(CL)	31(1)	2767	7	11	7	1	1.7	75.9	0.9	1	7.21
21	Andre BlakePhiladelphia Union, 27, GK	26	2340	-	-	2	-	-	55.2	0.6	4	7.21
22	Alexander RingNew York City FC, 27, M(CR)	29	2604	-	3	10	-	0.8	82.7	1.1	-	7.19
23	C.J. SapongPhiladelphia Union, 29, AM(LR),FW	30(3)	2794	16	4	3	-	2	65.6	3.1	5	7.19
24	Bastian SchweinsteigerChicago Fire, 33, M(C)	23(1)	1994	3	2	5	-	1	86.6	1	4	7.18
25	Sacha KljestanNew York Red Bulls, 32, M(C)	28(4)	2583	2	9	6	-	1.3	79.3	1.1	5	7.18
26	Justin MeramColumbus Crew, 29, AM(CLR),FW	32(2)	2589	13	5	6	-	1.8	75.3	0.6	6	7.17
27	Kelyn RoweNew England Rev., 26, D(L),M(CLR)	21(2)	1898	1	6	3	-	1.5	74.3	1	-	7.15
28	Justin MorrowToronto FC, 30, D(CLR),M(L)	28	2479	8	1	-	-	0.9	84	0.5	4	7.14
29	Maximiliano MoralezNew York City FC, 31, AM(CLR)	28(1)	2525	5	8	8	-	1.5	82.7	0.2	1	7.14
30	David GuzmanPortland Timbers, 28, DMC	24(1)	2029	1	6	11	-	1.7	82.5	0.4	2	7.14
31	Hector VillalbaAtlanta United, 23, AM(R),FW	34	2762	13	9	4	-	2.5	71.3	0.3	4	7.13
32	Kei KamaraNew England Rev., 33, AM(LR),FW	27(4)	2366	12	4	4	-	2.8	73.7	2.6	4	7.13
33	Nemanja NikolicChicago Fire, 30, FW	34	2952	24	3	1	-	3.5	74.7	0.3	6	7.13
34	Maxime ChanotNew York City FC, 28, D(C)	19	1710	2	-	3	-	0.8	86.9	2.8	1	7.11
35	IbsonMinnesota United, 34, M(C)	29(2)	2663	-	2	6	-	0.5	86.1	0.3	3	7.1
36	Ike OparaSporting Kansas City, 29, D(C)	30	2700	3	-	3	-	0.6	86.2	1.8	4	7.1
37	Benny FeilhaberSporting Kansas City, 33, M(C)	24(6)	2271	5	1	4	-	2.1	83.1	0.6	2	7.08
38	Osvaldo AlonsoSeattle Sounders FC, 32, DMC	24(2)	2074	1	-	4	-	0.9	91	0.4	2	7.08
39	Darlington NagbePortland Timbers, 27, M(CLR)	27	2332	3	3	3	-	1.6	92.2	0.7	-	7.07
40	Haris MedunjaninPhiladelphia Union, 33, M(C)	34	3057	2	8	4	-	1.1	82.7	0.5	1	7.07
41	Jefferson SavarinoReal Salt Lake, 21, AM(R)	19(3)	1674	6	5	-	-	2.6	80.6	-	3	7.06
42	Fanendo AdiPortland Timbers, 27, FW	22	1886	10	2	2	1	3	70.4	2.3	2	7.06
43	Kemar LawrenceNew York Red Bulls, 25, D(CL)	23(1)	2076	1	5	7	-	0.7	70.8	1.8	1	7.06
44	Ola KamaraColumbus Crew, 28, FW	33(1)	2868	18	3	-	-	2.6	75	1.5	3	7.05
45	Clint DempseySeattle Sounders FC, 35, M(CL),FW	25(4)	2278	12	4	3	1	4	83.5	1.1	3	7.05
46	Dax McCartyChicago Fire, 30, DMC	28	2465	-	4	4	-	0.5	86.2	1.4	-	7.04
47	Bradley Wright-PhillipsNew York Red Bulls, 33, FW	29(3)	2561	17	1	6	-	2.6	66.3	1.5	1	7.04
48	Sebastian BlancoPortland Timbers, 30, AM(CLR)	32(1)	2786	8	4	6	1	2.6	78	0.2	2	7.04
49	Jack HarrisonNew York City FC, 21, AM(R)	33(1)	2757	10	3	3	1	1.9	75.7	0.3	3	7.03
50	FabinhoPhiladelphia Union, 33, D(L),M(L)	21(1)	1903	-	1	4	-	0.4	72.4	1	-	7.02
51	Francisco CalvoMinnesota United, 25, D(C)	27	2430	2	1	5	-	0.8	76.8	1.6	2	7.02
52	Kendall WastonVancouver Whitecaps, 30, D(C)	25	2250	4	1	7	-	0.8	71.9	2.2	1	7.02
53	Alejandro BedoyaPhiladelphia Union, 30, M(CR),FW	28	2509	2	3	6	-	1.3	84.4	1.3	1	7.01
54	Gustav SvenssonSeattle Sounders FC, 31, D(C),DMC	30(2)	2646	1	3	1	-	0.5	86.5	1.5	1	7.01
55	Michael BradleyToronto FC, 30, M(C)	30	2700	-	2	8	-	0.4	88.2	0.2	-	7.01
56	Matt PolsterChicago Fire, 24, D(R),DMC	21(1)	1769	1	5	3	-	0.4	85	1.1	-	7.01
57	Matt HedgesFC Dallas, 28, D(C)	27	2425	2	-	7	-	0.9	84.5	1.9	1	7.01
58	Tyler AdamsNew York Red Bulls, 19, DMC,M(R)	22(2)	1995	2	3	2	-	0.5	80.6	0.8	2	7
59	Marco DelgadoToronto FC, 22, D(LR),M(CR)	25(1)	2072	3	2	1	1	0.7	85.2	0.8	-	7
60	Florian JungwirthSan Jose Earthquakes, 29, D(CR),DMC	30	2600	2	3	4	-	0.4	82.6	1.1	2	6.99
61	Oguchi OnyewuPhiladelphia Union, 35, D(C)	22	1929	1	-	6	-	0.6	79.7	1.9	-	6.98
62	Diego FagundezNew England Rev., 23, AM(CLR)	27(5)	2438	7	7	2	-	2.3	80.9	0.1	5	6.98
63	Michael MurilloNew York Red Bulls, 22, D(CR)	15(2)	1317	2	-	3	-	1	78.7	1.8	2	6.98
64	Ilie SanchezSporting Kansas City, 27, M(C)	33	2970	-	1	6	-	0.6	85.4	1.8	-	6.98
65	Greg GarzaAtlanta United, 26, D(L)	25(1)	2151	2	4	2	-	0.5	81.5	0.8	-	6.97
66	Luciano AcostaDC United, 23, AM(C),FW	30(1)	2422	5	4	4	2	1.5	75.7	0.3	2	6.97
67	Matt BeslerSporting Kansas City, 31, D(C)	26	2340	-	4	2	-	0.2	85.9	2.1	1	6.97
68	Juan CabezasHouston Dynamo, 27, DMC	26(1)	2232	1	-	7	-	0.7	86.4	0.9	1	6.97
69	Luke MulhollandReal Salt Lake, 29, DMC	22(5)	1950	3	2	4	-	1.6	75.7	0.9	-	6.97
70	Adolfo MachadoHouston Dynamo, 33, D(CR)	33	2970	-	2	5	-	0.3	77	1.6	1	6.96
71	Joevin JonesSeattle Sounders FC, 26, D(L),M(L)	28(2)	2451	1	9	3	1	0.9	84.7	0.4	-	6.96
