,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
0,30,14,David Accam,David Accam,CHI,CHI,F,F,700000.0,750000.0,770937.5,820937.5,21,24,3,6,1937,2179,9,14,2,6,4,2,0,0,3.0,2.2,72.5,74.6,0.3,0.3,5,6,7.09,7.26
1,159,126,Kellyn Acosta,Kellyn Acosta,DAL,DAL,M,M,220000.0,260000.0,240000.0,280000.0,24,20,8,3,2328,1895,2,3,3,2,4,2,0,0,1.1,2.1,79.8,78.2,1.0,0.5,0,1,6.75,6.83
2,54,66,Luciano Acosta,Luciano Acosta,DC,DC,M,M,327272.76,500000.0,429272.76,602000.0,25,30,6,1,2111,2422,3,5,8,4,9,4,0,2,1.6,1.5,74.8,75.7,0.3,0.3,2,2,6.98,6.97
3,96,42,Fanendo Adi,Fanendo Adi,POR,POR,F,F,640000.0,1190004.0,712500.0,1736254.0,30,22,3,0,2650,1886,16,10,0,2,7,2,0,1,2.7,3.0,65.1,70.4,1.9,2.3,5,2,6.87,7.06
4,35,257,Harrison Afful,Harrison Afful,CLB,CLB,D,D,275000.0,280000.0,291666.67,296666.67,30,21,0,3,2597,1780,3,0,3,0,1,3,1,1,1.3,0.7,80.7,80.6,0.6,0.7,1,0,7.06,6.53
5,62,94,Juan Agudelo,Juan Agudelo,NE,NE,F,F,425000.0,475000.0,452500.0,502500.0,14,20,10,8,1349,1821,7,8,4,1,5,3,0,0,2.2,1.3,80.1,80.9,1.6,1.5,2,2,6.96,6.9
6,253,277,Tesho Akindele,Tesho Akindele,DAL,DAL,M,F,90000.0,95000.0,107500.0,112500.0,15,15,16,14,1516,1512,6,4,4,0,2,3,0,1,1.1,0.7,75.1,76.0,0.9,1.1,1,0,6.52,6.47
7,219,254,Fatai Alashe,Fatai Alashe,SJ,SJ,M,M,74250.0,98175.0,90500.0,114425.0,27,13,1,4,2336,1201,3,0,1,0,8,6,0,0,0.7,0.4,81.5,85.0,0.6,0.7,2,0,6.62,6.54
8,256,295,Roland Alberg,Roland Alberg,PHI,PHI,M,M,328000.0,345000.0,377250.0,394250.0,13,9,15,15,1155,872,9,7,1,0,1,3,1,0,1.7,1.3,84.8,83.3,0.3,0.2,1,0,6.51,6.41
9,2,38,Osvaldo Alonso,Osvaldo Alonso,SEA,SEA,M,M,900000.0,1100000.0,941667.0,1141667.0,32,24,0,2,2826,2074,3,1,3,0,7,4,1,0,1.3,0.9,90.9,91.0,1.0,0.4,6,2,7.51,7.08
