,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
0,263,Mohammed Abu,CLB,M,165000.0,171250.0,14,6,1281,0,0,3,0,0.3,88.4,0.4,0,6.52
1,14,David Accam,CHI,F,750000.0,820937.5,24,6,2179,14,6,2,0,2.2,74.6,0.3,6,7.26
2,172,Danilo Acosta,RSL,M,65625.0,65625.0,16,1,1407,0,1,2,1,0.1,77.2,1.2,0,6.72
3,126,Kellyn Acosta,DAL,M,260000.0,280000.0,20,3,1895,3,2,2,0,2.1,78.2,0.5,1,6.83
4,66,Luciano Acosta,DC,M,500000.0,602000.0,30,1,2422,5,4,4,2,1.5,75.7,0.3,2,6.97
5,58,Tyler Adams,NYRB,M,75000.0,91041.67,22,2,1995,2,3,2,0,0.5,80.6,0.8,2,7.0
6,42,Fanendo Adi,POR,F,1190004.0,1736254.0,22,0,1886,10,2,2,1,3.0,70.4,2.3,2,7.06
7,257,Harrison Afful,CLB,D,280000.0,296666.67,21,3,1780,0,0,3,1,0.7,80.6,0.7,0,6.53
8,94,Juan Agudelo,NE,F,475000.0,502500.0,20,8,1821,8,1,3,0,1.3,80.9,1.5,2,6.9
9,277,Tesho Akindele,DAL,F,95000.0,112500.0,15,14,1512,4,0,3,1,0.7,76.0,1.1,0,6.47
10,254,Fatai Alashe,SJ,M,98175.0,114425.0,13,4,1201,0,0,6,0,0.4,85.0,0.7,0,6.54
11,295,Roland Alberg,PHI,M,345000.0,394250.0,9,15,872,7,0,3,0,1.3,83.3,0.2,0,6.41
12,5,Romain Alessandrini,LA,M,1669400.64,1999400.64,27,3,2444,13,11,8,0,3.2,71.2,0.3,8,7.44
13,38,Osvaldo Alonso,SEA,M,1100000.0,1141667.0,24,2,2074,1,0,4,0,0.9,91.0,0.4,2,7.08
14,18,Jozy Altidore,TOR,F,4875000.0,4875000.0,25,2,2194,15,6,8,0,2.5,71.7,1.1,3,7.23
15,151,Vytautas Andriuskevicius,POR,D,222500.0,244375.0,19,4,1781,0,4,5,0,0.3,80.4,1.3,1,6.77
16,155,Benjamin Angoua,NE,D,600000.0,654333.33,26,0,2311,1,0,6,0,0.4,84.4,1.8,0,6.76
17,20,Yamil Asad,ATL,M,150000.0,150000.0,31,1,2767,7,11,7,1,1.7,75.9,0.9,1,7.21
18,183,Dairon Asprilla,POR,M,138000.0,138000.0,17,10,1395,2,4,1,0,1.3,79.0,1.4,2,6.7
19,156,Dominique Badji,COL,F,65000.0,65000.0,29,4,2540,9,4,5,0,1.7,72.4,1.9,2,6.75
20,264,Giles Barnes,ORL,F,725000.0,781250.0,23,11,2141,3,1,0,0,1.5,80.1,1.0,1,6.51
21,134,Michael Barrios,DAL,M,100000.0,100000.0,28,6,2567,3,12,5,0,1.8,76.3,0.3,0,6.82
22,241,DaMarcus Beasley,HOU,D,316008.0,351008.0,22,2,1985,0,0,0,0,0.3,85.1,0.6,0,6.59
23,92,Kyle Beckerman,RSL,M,750000.0,825000.0,26,0,2242,4,0,8,2,1.3,82.3,0.7,1,6.9
24,53,Alejandro Bedoya,PHI,M,1131000.0,1197250.0,28,0,2509,2,3,6,0,1.3,84.4,1.3,1,7.01
25,223,Steven Beitashour,TOR,D,250000.0,264000.0,17,5,1590,0,4,1,0,0.2,81.4,0.3,0,6.61
26,153,Joe Bendik,ORL,GK,165000.0,174083.4,33,0,2970,0,0,1,0,0.0,55.8,0.1,4,6.77
27,231,Patrice Bernier,MTL,M,165000.0,165000.0,20,7,1801,2,3,1,0,0.8,81.3,0.4,0,6.6
28,67,Matt Besler,KC,D,725000.0,758250.0,26,0,2340,0,4,2,0,0.2,85.9,2.1,1,6.97
29,269,David Bingham,SJ,GK,190000.0,197750.0,23,0,2070,0,1,3,0,0.0,52.6,0.5,1,6.5
30,21,Andre Blake,PHI,GK,148500.0,186500.0,26,0,2340,0,0,2,0,0.0,55.2,0.6,4,7.21
31,233,Latif Blessing,KC,F,65004.0,74379.0,16,9,1420,3,1,3,0,1.5,79.0,0.4,1,6.6
32,170,Emmanuel Boateng,LA,F,115000.0,115000.0,29,5,2322,4,2,0,0,0.8,81.0,0.3,0,6.72
33,55,Michael Bradley,TOR,M,6000000.0,6500000.0,30,0,2700,0,2,8,0,0.4,88.2,0.2,0,7.01
34,188,Will Bruin,SEA,F,325000.0,326666.67,20,11,1824,11,2,1,0,1.7,69.2,1.2,1,6.69
35,242,Teal Bunbury,NE,F,215000.0,260000.0,13,15,1280,7,1,1,0,1.6,77.7,0.5,1,6.58
36,246,Evan Bush,MTL,GK,136750.0,136750.0,31,0,2790,0,0,3,0,0.0,65.2,0.5,0,6.57
37,226,Scott Caldwell,NE,M,115000.0,125000.0,26,7,2196,1,2,2,0,0.3,87.1,0.2,0,6.61
38,141,Alexander Callens,NYCFC,D,180000.0,180000.0,34,0,3060,2,0,4,0,0.4,85.9,1.3,0,6.8
39,51,Francisco Calvo,MNUFC,D,300000.0,330843.63,27,0,2430,2,1,5,0,0.8,76.8,1.6,2,7.02
40,251,Hassoun Camara,MTL,D,255000.0,255000.0,16,2,1351,0,0,3,1,0.6,77.8,1.9,0,6.55
41,298,Jonathan Campbell,CHI,D,101750.0,109875.0,8,16,1012,0,0,2,0,0.0,84.2,0.8,0,6.4
42,200,Carlos Carmona,ATL,M,675000.0,725000.0,30,1,2684,2,1,8,1,0.3,89.2,0.6,0,6.67
43,34,Maxime Chanot,NYCFC,D,350000.0,383000.0,19,0,1710,2,0,3,0,0.8,86.9,2.8,1,7.11
44,79,Diego Chara,POR,M,500000.0,522000.0,29,0,2530,1,1,8,1,0.2,89.0,0.6,0,6.94
45,157,Laurent Ciman,MTL,D,630000.0,661666.67,30,0,2700,0,1,6,0,0.5,80.7,1.5,1,6.75
46,166,Ricardo Clark,HOU,M,335160.0,372660.0,26,2,2252,0,0,6,0,0.8,80.4,1.1,0,6.74
47,173,Ashley Cole,LA,D,350000.0,377625.0,29,0,2499,1,2,1,1,0.3,85.3,0.8,0,6.72
48,317,Drew Conner,CHI,M,65625.0,65625.0,8,13,883,0,0,0,0,0.1,83.5,0.3,0,6.29
49,243,Armando Cooper,TOR,M,189000.0,202333.33,10,9,907,0,1,2,0,0.6,85.0,0.4,0,6.58
50,247,Alex Crognale,CLB,D,84996.0,84996.0,12,5,1069,0,1,1,0,0.5,80.4,1.6,1,6.56
51,221,Sam Cronin,MNUFC,M,300000.0,306250.0,18,0,1551,0,1,3,0,0.3,87.5,0.4,0,6.62
52,290,Cody Cropper,NE,F,65625.0,65625.0,28,0,2520,0,0,0,0,0.0,53.1,0.1,0,6.43
53,293,Abu Danladi,MNUFC,F,125000.04,176000.04,15,12,1392,8,2,4,1,1.4,75.5,0.2,0,6.42
54,283,Alphonso Davies,VAN,M,65000.0,65000.0,9,17,1057,0,1,1,0,0.6,71.8,0.1,0,6.45
55,201,Sean Davis,NYRB,M,110000.0,127500.0,21,6,1796,2,2,5,0,1.0,83.7,0.4,0,6.67
56,103,Nick DeLeon,DC,M,255000.0,255000.0,18,1,1594,0,0,3,0,0.9,82.3,1.4,0,6.88
57,59,Marco Delgado,TOR,M,210000.0,210000.0,25,1,2072,3,2,1,1,0.7,85.2,0.8,0,7.0
58,45,Clint Dempsey,SEA,F,3200000.0,3892933.5,25,4,2278,12,4,3,1,4.0,83.5,1.1,3,7.05
59,208,Tyler Deric,HOU,GK,185000.0,185000.0,26,0,2340,0,0,2,0,0.0,37.2,0.2,2,6.65
60,179,Bradley Diallo,LA,D,65004.0,65004.0,15,3,1383,0,0,6,1,0.6,79.3,1.4,0,6.71
61,216,Marco Donadel,MTL,M,349992.0,386658.67,18,1,1425,2,1,3,1,1.0,82.4,0.3,0,6.62
62,171,Kevin Doyle,COL,F,1000000.0,1045000.0,23,2,1966,5,3,5,0,2.2,71.9,2.2,1,6.72
63,175,Chris Duvall,MTL,D,70875.0,70875.0,25,2,2210,1,2,5,1,0.4,81.8,0.9,1,6.71
64,113,Raheem Edwards,TOR,F,53004.0,53004.0,10,11,1062,1,4,1,0,0.5,75.6,1.2,1,6.86
