,R,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AeiralsWon,MotM,Rating
,1,"Sebastian GiovincoToronto FC, 31, AM(C),FW",28,2418,17,14,3,-,6.3,72.5,0.1,10,7.76
,2,"Osvaldo AlonsoSeattle Sounders FC, 32, DMC",32,2826,3,3,7,1,1.3,90.9,1,6,7.51
,3,"Sacha KljestanNew York Red Bulls, 32, M(C)",30(2),2625,6,16,3,-,1.3,74.8,1.7,2,7.42
,4,"David VillaNew York City FC, 36, AM(L),FW",32(1),2899,23,4,5,-,5,71.8,0.2,9,7.37
,5,"Ignacio PiattiMontreal Impact, 33, AM(CL),FW",31(1),2821,17,4,5,-,3,82.5,-,4,7.36
,6,"Walker ZimmermanFC Dallas, 24, D(C)",30,2700,4,-,4,-,0.9,78.4,3.3,4,7.3
,7,"Gyasi ZardesLA Galaxy, 26, M(LR),FW",17(2),1604,6,5,1,-,1.3,71.1,2.2,3,7.29
,8,"Michael BradleyToronto FC, 30, M(C)",24,2160,1,4,5,-,0.5,83.6,0.4,1,7.28
,9,"Bradley Wright-PhillipsNew York Red Bulls, 33, FW",32(2),2762,24,4,3,-,3.1,69.9,1.4,9,7.28
,10,"Mauro DíazFC Dallas, 27, AM(C)",24(3),2149,5,10,3,-,1.7,77.3,0.2,4,7.26
,11,"Justin MeramColumbus Crew, 29, AM(CLR),FW",31(2),2605,5,10,3,-,2.3,72.5,0.7,5,7.23
,12,"Diego ValeriPortland Timbers, 31, AM(CR)",30,2640,14,6,1,1,3.7,74.9,0.7,4,7.22
,13,"Shkëlzen GashiColorado Rapids, 29, AM(CLR)",25(1),2125,9,3,4,-,3.5,75.7,0.9,4,7.22
,14,"KakáOrlando City, 35, M(CL),FW",23(1),1957,9,9,2,-,2.6,80.2,0.4,4,7.21
,15,"Aurélien CollinNew York Red Bulls, 32, D(C)",21(2),1934,-,2,7,1,0.4,73.1,3.7,2,7.19
,16,"Ronald MatarritaNew York City FC, 23, D(L)",23(2),2020,1,2,4,-,1,76.9,0.7,3,7.18
,17,"Steve BirnbaumDC United, 27, D(C)",26,2340,3,2,5,-,1.3,71.4,4,-,7.18
,18,"Steven GerrardLA Galaxy, 37, M(C)",18(3),1492,3,9,2,-,1.5,81,0.4,2,7.17
,19,"Giovani dos SantosLA Galaxy, 28, AM(CLR),FW",27(1),2356,14,4,3,-,2.3,84.9,0.1,4,7.16
,20,"Patrick NyarkoDC United, 32, AM(LR)",23(3),1829,4,4,2,-,0.9,71.8,1.2,2,7.14
,21,"Jelle Van DammeLA Galaxy, 34, D(CL)",28,2436,-,2,9,-,0.9,73.6,2,3,7.14
,22,"Dax McCartyNew York Red Bulls, 30, DMC",26(1),2269,3,1,3,-,0.9,81.6,1.4,1,7.13
,23,"Víctor CabreraMontreal Impact, 25, D(C)",21(2),1927,-,-,6,-,-,81.1,0.9,4,7.12
,24,"Jámison OlaveReal Salt Lake, 36, D(C)",16(1),1482,2,-,2,1,0.8,81.4,2.5,1,7.12
,25,"Kevin MolinoOrlando City, 27, AM(CLR)",26(4),2318,11,8,1,-,2,80.1,0.2,4,7.12
,26,"Maximiliano UrrutiFC Dallas, 27, FW",29(1),2484,9,3,4,-,3,74.5,0.8,3,7.12
,27,"Matt HedgesFC Dallas, 28, D(C)",26,2334,1,-,5,-,0.4,81,2.2,1,7.11
,28,"Benny FeilhaberSporting Kansas City, 33, M(C)",28(2),2565,7,5,3,-,1.5,80.7,0.5,3,7.1
,29,"Roger EspinozaSporting Kansas City, 31, M(CL)",30,2681,1,5,10,2,1.6,79.8,1.9,2,7.1
,30,"David AccamChicago Fire, 27, AM(LR),FW",21(3),1937,9,2,4,-,3,72.5,0.3,5,7.09
,31,"Chris PontiusPhiladelphia Union, 30, AM(CLR),FW",32(1),2571,12,4,2,-,2,77.7,3,3,7.09
,32,"Juan Manuel MartínezReal Salt Lake, 32, AM(LR)",29(3),2522,7,1,1,-,1.5,76.8,0.8,3,7.08
,33,"Kelyn RoweNew England Rev., 26, D(L),M(CLR)",32(1),2787,5,6,2,-,2,73.6,0.8,3,7.08
,34,"Kei KamaraNew England Rev., 33, AM(LR),FW",21,1870,7,2,5,-,3.3,70.5,3.3,2,7.07
,35,"Harrison AffulColumbus Crew, 31, D(R),M(R)",30,2597,3,3,1,1,1.3,80.7,0.6,1,7.06
,36,"Robbie RogersLA Galaxy, 30, D(LR),M(L)",19(2),1655,1,2,2,-,0.3,81.6,1.4,1,7.06
,37,"Marcelo SarvasDC United, 36, M(C)",26(2),2247,1,2,11,1,0.8,81,0.5,2,7.06
,38,"Taylor KempDC United, 27, D(L)",30(1),2745,1,4,2,-,0.7,66.1,1.2,1,7.06
,39,"FabinhoPhiladelphia Union, 33, D(L),M(L)",29,2518,-,4,6,-,0.3,72.3,1,1,7.06
,40,"Jozy AltidoreToronto FC, 28, FW",16(7),1489,10,3,4,-,1.9,69.4,1.5,4,7.06
,41,"Didier DrogbaMontreal Impact, 40, FW",18(4),1650,10,3,5,1,4.1,60.4,2.1,3,7.05
,42,"Laurent CimanMontreal Impact, 32, D(C)",28,2484,-,-,3,-,0.6,80.7,1.4,2,7.02
,43,"Tranquillo BarnettaPhiladelphia Union, 32, M(CLR)",25(4),2312,5,4,8,-,2.1,76,0.4,2,7.02
,44,"Ola KamaraColumbus Crew, 28, FW",20(5),1889,16,2,-,-,3.2,77.3,1.2,3,7.01
,45,"Frank LampardNew York City FC, 39, M(C)",15(4),1311,12,2,3,-,1.7,79.3,0.3,1,7.01
,46,"Darlington NagbePortland Timbers, 27, M(CLR)",27,2416,1,5,1,-,1.4,89.9,0.7,2,7.01
,47,"Ryan HollingsheadFC Dallas, 27, D(LR),M(LR)",22(7),2026,2,-,3,-,0.8,73.8,2.4,1,7.01
,48,"Hassoun CamaraMontreal Impact, 34, D(CR)",26(1),2249,2,2,6,-,0.7,76.7,2.1,2,7
,49,"Andrea PirloNew York City FC, 38, M(C)",32,2801,1,6,4,-,0.8,81.3,0.2,-,7
,50,"Clint DempseySeattle Sounders FC, 35, M(CL),FW",17,1430,8,1,1,1,3.8,82.4,1.4,1,6.99
,51,"Kenneth TribbettPhiladelphia Union, 25, D(C)",19(3),1728,2,-,4,-,0.5,76.7,2.5,-,6.99
,52,"Ambroise OyongoMontreal Impact, 26, D(LR),M(L)",26(1),2316,-,4,4,1,0.6,74.7,0.4,1,6.98
,53,"Graham ZusiSporting Kansas City, 31, D(R),M(CLR)",18(3),1652,2,2,1,-,1.4,80.8,0.4,1,6.98
,54,"Luciano AcostaDC United, 23, AM(C),FW",25(6),2111,3,8,9,-,1.6,74.8,0.3,2,6.98
,55,"Aníbal GodoySan Jose Earthquakes, 28, DMC",23,1941,1,2,6,2,1.2,89.4,1,3,6.98
,56,"Alvas PowellPortland Timbers, 23, D(R)",23,2016,-,1,4,-,0.3,69.4,1.3,1,6.98
,57,"Razvan CocisChicago Fire, 35, M(C)",19(11),1902,5,2,4,-,0.9,76.2,1.5,2,6.98
,58,"Aaron MaundReal Salt Lake, 27, D(C)",20,1746,-,-,4,-,0.3,79.5,2.1,2,6.97
,59,"Jack HarrisonNew York City FC, 21, AM(R)",17(4),1604,4,6,-,-,1,73.6,0.3,1,6.97
,60,"Chad MarshallSeattle Sounders FC, 33, D(C)",30,2634,4,-,2,-,0.7,84.9,2.1,3,6.97
,61,"FelipeNew York Red Bulls, 27, M(C)",33,2898,5,4,6,1,1.6,76.5,0.3,2,6.96
,62,"Juan AgudeloNew England Rev., 25, AM(CLR),FW",14(10),1349,7,4,5,-,2.2,80.1,1.6,2,6.96
,63,"Micheal AziraColorado Rapids, 30, DMC",28(3),2504,-,1,8,1,0.4,83.8,1.1,-,6.95
,64,"Fabian CastilloFC Dallas, 25, AM(CLR),FW",20(2),1752,5,5,1,-,2,68.5,0.2,1,6.95
